# t_values Z_values
0.10863344677897603 8532.93484214506
0.9777175974121339 8982.03663085829
1.8467934598445745 9925.149701881128
2.8788319247465357 8667.665036121556
3.5306408936210554 8173.652040624584
5.051534013128725 5389.22317774613
6.13788505731982 6781.437180888515
9.885792844498804 6511.977649529206
10.972143888689898 7410.180370361984
13.090529253682599 5209.580920392209
13.959609260215394 6467.065586151782
14.88301013423804 5568.86200872532
23.08495968906071 5254.491270582269
30.798050445177324 5748.502552891876
31.83008476597894 7230.538969601746
33.13370684782832 7230.538969601746
34.111420301140086 7365.269163578242
36.06685549596433 3458.084115729347
36.881618779107654 4401.197186752185
38.67409551556274 3278.4435715627915
