# t_values T_values Z_values Additional_t_values
36.221408759412725 40.0 3910.277990894673 14.392900848011482
34.87693550482711 50.0 6754.027941224481 8.706525290408694
31.032496914849858 60.0 8677.407961460449 5.536591571518044
22.071392659627932 70.0 10032.915775992098 5.529892361236019
13.763197586727001 80.0 11796.176733889846 4.800502389394693
10.495551620871316 90.0 13390.227635553769 4.1411077960586615
7.274939704607222 100.0 15527.630791693144 3.2569502804696024
5.821015585721468 110.0 16429.102776732474 2.8840476633961116
4.928316265777566 120.0 15499.839133679789 3.2684465689599644
3.740731920298484 130.0 19346.577207312144 0.9951877940171265
2.793247476505395 140.0 22415.600892230235 -0.1212121212121211
2.2015315001740348 150.0 24332.244862484116 -0.1212121212121211
1.4808369107011647 160.0 26414.576628826944 -0.1212121212121211
0.5077928607340363 170.0 26982.178936571567 -0.1212121212121211
0.13574660633484115 190.0 27199.203348356277 -0.1212121212121211
0.13574660633484115 190.0 27199.203348356277 -0.1212121212121211
