# Z_values t_values
3910.277990894673 33.39511501594347
6754.027941224481 32.51592027414275
8677.407961460449 14.520738636363633
10032.915775992098 10.797352198455123
11796.176733889846 7.24685057589468
13390.227635553769 5.724743631222746
15527.630791693144 5.129704420050536
16429.102776732474 4.735699760941091
15499.839133679789 5.141851267565892
19346.577207312144 3.4605647178582903
22415.600892230235 2.1191923282080367
24332.244862484116 0.018085949414732072
26414.576628826944 -0.1212121212121211
26982.178936571567 -0.1212121212121211
27199.203348356277 -0.1212121212121211
27199.203348356277 -0.1212121212121211
